#{"t_start": 1769443831.972301, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
275.0,3165,2183.641193
390.0,3108,2186.973765
335.0,2199,2188.93927
605.0,4679,2193.124438
450.0,3113,2196.036353
445.0,3479,2199.619993
330.0,2435,2211.196406
920.0,5137,2215.766056
280.0,2571,2218.096586
380.0,3127,2221.232456
770.0,4637,2225.745789
615.0,3567,2228.944988
425.0,3697,2232.313918
480.0,3673,2236.148059
390.0,3479,2239.208287
200.0,2117,2241.095954
480.0,4195,2244.887874
750.0,3735,2248.648915
345.0,2522,2251.007434
400.0,2943,2253.722706
255.0,2659,2256.142483
290.0,2529,2258.949757
330.0,2817,2261.474323
380.0,3943,2264.950244
655.0,3495,2268.021619
580.0,4925,2272.855958
540.0,3845,2276.20036
385.0,3063,2278.876357
570.0,3629,2282.549624
600.0,3801,2286.268609
545.0,5233,2290.971554
470.0,3825,2294.946163
670.0,3165,2297.960392
600.0,4843,2302.474663
495.0,3819,2317.345709
480.0,3791,2321.23147
185.0,3253,2324.127559
515.0,3919,2327.53975
600.0,4187,2331.642956
500.0,4721,2335.881696
775.0,4971,2340.210133
310.0,2915,2343.043602
130.0,2095,2345.254806
335.0,3009,2347.903603
545.0,3287,2350.778219
495.0,3617,2353.93814
650.0,4729,2358.695545
775.0,3869,2362.0228
1130.0,7361,2369.000379
450.0,4189,2372.70039
700.0,4113,2376.322805
555.0,4061,2380.270727
575.0,3691,2383.605212
340.0,2913,2386.149958
470.0,4589,2390.218112
725.0,3779,2394.163173
350.0,2885,2396.721865
205.0,1727,2398.273753
180.0,2829,2400.781728
405.0,4073,2404.895903
140.0,1687,2406.448349
470.0,2487,2408.656758
475.0,2861,2421.352228
630.0,4411,2425.14841
1000.0,4515,2429.574423
750.0,4195,2433.268596
360.0,2889,2435.886707
320.0,3164,2438.729809
175.0,2271,2441.322821
610.0,3801,2444.778304
540.0,4569,2448.851907
1000.0,4779,2453.626791
420.0,2567,2455.963018
505.0,3131,2458.697843
885.0,6605,2464.82291
745.0,4777,2469.338979
585.0,4085,2472.90868
240.0,2381,2475.003544
575.0,3828,2478.864862
250.0,2897,2481.387853
600.0,3847,2484.710133
710.0,3667,2487.924119
470.0,3007,2491.168701
545.0,4567,2495.191218
285.0,3620,2498.349944
570.0,4791,2502.99843
630.0,4467,2506.902574
385.0,3813,2510.223326
435.0,4307,2523.617669
600.0,4469,2528.094027
600.0,5509,2532.873984
605.0,4561,2536.899379
345.0,3337,2540.265236
810.0,4661,2544.285865
425.0,3681,2547.467746
555.0,3747,2551.253455
175.0,1997,2553.008783
690.0,3801,2556.37802
305.0,3065,2559.069988
490.0,4341,2563.401326
195.0,3069,2566.08857
325.0,2987,2568.679537
445.0,4075,2572.207293
470.0,2585,2575.008189
330.0,2679,2577.389912
370.0,3093,2580.147972
410.0,3187,2582.950524
185.0,2567,2585.312726
760.0,4731,2589.884398
255.0,2703,2592.223746
560.0,3934,2595.651972
745.0,4357,2599.958292
525.0,3606,2603.107365
455.0,3499,2606.151858
385.0,3191,2608.959657
545.0,4847,2613.758113
525.0,3568,2625.899549
535.0,2511,2628.102509
725.0,5889,2633.239594
525.0,4556,2637.830923
420.0,3241,2640.695101
560.0,3611,2643.896646
350.0,2739,2646.500286
220.0,2553,2649.15033
775.0,3580,2652.307143
340.0,3033,2654.987808
525.0,3631,2658.259016
605.0,3807,2662.029588
465.0,3201,2664.798585
335.0,2401,2666.861676
605.0,4657,2671.261556
510.0,4209,2675.207052
465.0,3689,2678.368642
600.0,4623,2682.45991
210.0,1929,2684.592937
390.0,2901,2687.151564
475.0,2391,2689.251084
570.0,4781,2693.366842
600.0,3593,2696.982919
335.0,2803,2699.442455
645.0,4645,2703.503659
470.0,3425,2706.5349
440.0,4319,2710.815784
220.0,1879,2712.424832
575.0,2669,2714.747833
470.0,2641,2726.680208
725.0,4511,2730.5866
